0.047669,0.000000,0.787596,-0.001429,0.017365,0.000129,0.999848,-0.018195,0.071612,0.174092,0.266877,-0.274600,-0.053940,-0.024189,-0.036445,-0.088783,0.215049,-0.257837,0.052368,0.004252,0.010436,0.108832,0.020528,0.334935,-0.554243,0.903053,-0.102793,-0.016622,0.169241,-0.085068,-0.322755,0.680100,1.009952,-0.041577,0.031552,-0.108833
0.047971,-0.000229,0.787200,-0.001083,0.018818,-0.001178,0.999822,-0.025951,0.072243,0.178028,0.279048,-0.283783,-0.053188,-0.028332,-0.038387,-0.087916,0.220823,-0.265830,0.056545,0.007335,0.009627,0.110106,0.023908,0.335602,-0.550209,0.899681,-0.104501,-0.017633,0.168037,-0.091362,-0.320067,0.687781,1.008040,-0.043321,0.033967,-0.106565
0.050220,-0.000065,0.786517,-0.001443,0.020082,-0.002705,0.999794,-0.036153,0.074691,0.180575,0.299709,-0.296179,-0.051411,-0.031772,-0.038385,-0.085957,0.226199,-0.273922,0.060913,0.010690,0.010680,0.113370,0.028205,0.334858,-0.545292,0.896865,-0.107498,-0.020915,0.167378,-0.104284,-0.317222,0.702606,1.007070,-0.046281,0.035733,-0.102421
0.052641,0.000484,0.785548,-0.002799,0.020983,-0.005003,0.999763,-0.046493,0.079458,0.183528,0.326756,-0.312128,-0.049459,-0.033127,-0.036054,-0.082386,0.229225,-0.280556,0.064690,0.015688,0.013701,0.118268,0.033062,0.333424,-0.541037,0.896357,-0.111850,-0.024089,0.166794,-0.124774,-0.314484,0.725598,1.008047,-0.054612,0.037852,-0.095782
0.056212,0.001504,0.784327,-0.005228,0.021689,-0.008191,0.999718,-0.056123,0.086482,0.186563,0.356976,-0.330843,-0.047127,-0.033052,-0.031547,-0.077273,0.231551,-0.286580,0.067678,0.021621,0.019008,0.124110,0.037771,0.331572,-0.538957,0.898551,-0.118091,-0.026462,0.167207,-0.152302,-0.313165,0.757560,1.009738,-0.068670,0.041271,-0.086004
0.061001,0.003302,0.782646,-0.008729,0.022173,-0.012411,0.999639,-0.062735,0.095282,0.190350,0.388003,-0.354038,-0.044726,-0.031637,-0.025462,-0.070647,0.236127,-0.294935,0.071292,0.027898,0.026482,0.130847,0.044012,0.329648,-0.541025,0.902308,-0.123807,-0.027083,0.169429,-0.188261,-0.314361,0.797566,1.009935,-0.089925,0.046397,-0.075125
0.067168,0.005934,0.780633,-0.012523,0.022572,-0.016818,0.999525,-0.064295,0.103389,0.195852,0.413291,-0.379413,-0.042641,-0.028570,-0.019661,-0.063716,0.242154,-0.306121,0.075302,0.033446,0.033852,0.136970,0.052349,0.327902,-0.547357,0.906565,-0.126103,-0.026601,0.173942,-0.225558,-0.317510,0.831785,1.005017,-0.115171,0.050490,-0.068689
0.073995,0.008967,0.778563,-0.015596,0.023239,-0.021116,0.999385,-0.060979,0.108362,0.203974,0.429907,-0.403870,-0.040814,-0.024028,-0.016286,-0.055708,0.248441,-0.318627,0.079624,0.038282,0.038317,0.141557,0.062449,0.326273,-0.557211,0.911310,-0.125168,-0.026569,0.178524,-0.258682,-0.320743,0.852446,0.993398,-0.135785,0.051108,-0.068908
0.081268,0.012860,0.776611,-0.017336,0.024198,-0.025150,0.999240,-0.051968,0.108789,0.214744,0.436309,-0.425365,-0.038767,-0.018317,-0.016842,-0.047185,0.255359,-0.332142,0.084945,0.042919,0.038393,0.145072,0.072958,0.324914,-0.569761,0.917491,-0.122680,-0.026484,0.179788,-0.284836,-0.322597,0.859676,0.976547,-0.149819,0.049489,-0.074203
0.089592,0.016491,0.774578,-0.018373,0.025472,-0.028150,0.999110,-0.040741,0.106103,0.224471,0.438019,-0.443920,-0.037305,-0.012871,-0.020150,-0.039875,0.264941,-0.346109,0.089407,0.047302,0.035819,0.148405,0.080680,0.324138,-0.584966,0.925537,-0.118010,-0.025283,0.175769,-0.301157,-0.322995,0.854606,0.954702,-0.155093,0.046467,-0.083724
