0.017671,0.000000,0.773594,0.017551,0.016198,0.006641,0.999693,-0.212063,0.051760,-0.048583,0.539428,-0.222586,-0.129878,0.050730,-0.065821,-0.292490,0.185445,-0.307191,0.041495,-0.082436,-0.020761,0.168741,-0.063850,0.320458,-0.674804,1.008520,0.109113,0.041267,0.147532,0.023312,-0.324503,0.616071,0.962202,-0.178613,0.069599,-0.119809
0.019410,-0.002758,0.772982,0.017218,0.020002,0.009863,0.999603,-0.255907,0.053874,-0.049050,0.610823,-0.218742,-0.137080,0.048413,-0.061433,-0.301647,0.181840,-0.311056,0.041227,-0.078063,-0.015148,0.172601,-0.068702,0.322609,-0.658009,0.997126,0.113638,0.042913,0.149311,0.019187,-0.331205,0.609994,0.951643,-0.175025,0.072011,-0.120817
0.022393,-0.005193,0.771899,0.016512,0.022154,0.013743,0.999524,-0.306775,0.055273,-0.052018,0.700392,-0.210005,-0.146519,0.048159,-0.056868,-0.309592,0.182752,-0.317997,0.038432,-0.073963,-0.008569,0.180945,-0.074231,0.323170,-0.639925,0.987928,0.118543,0.042726,0.153993,0.012187,-0.339588,0.607598,0.937442,-0.163454,0.071562,-0.124238
0.026191,-0.007286,0.770749,0.016375,0.022848,0.017819,0.999446,-0.358111,0.058203,-0.047742,0.793714,-0.196682,-0.147717,0.053717,-0.054563,-0.318502,0.184235,-0.325779,0.035978,-0.070476,-0.003496,0.191049,-0.074343,0.321204,-0.623022,0.985421,0.124195,0.040563,0.160606,0.002939,-0.348385,0.610298,0.925036,-0.152782,0.068971,-0.128188
0.032233,-0.008820,0.769760,0.017235,0.022733,0.021340,0.999365,-0.402217,0.062871,-0.036019,0.869260,-0.203357,-0.136556,0.063983,-0.054858,-0.326449,0.185226,-0.334085,0.036206,-0.066082,-0.001053,0.198871,-0.072158,0.317246,-0.608862,0.985813,0.129883,0.042337,0.163678,-0.010567,-0.355804,0.611996,0.912376,-0.146899,0.068733,-0.132122
0.039867,-0.010039,0.768996,0.019641,0.023068,0.024628,0.999237,-0.437610,0.055497,-0.033305,0.902306,-0.211261,-0.121731,0.076851,-0.058198,-0.333050,0.183139,-0.341497,0.036765,-0.061358,-0.002021,0.202545,-0.063838,0.313624,-0.598321,0.987067,0.133776,0.043506,0.161596,-0.027861,-0.360009,0.606038,0.898460,-0.145673,0.069949,-0.136126
0.049005,-0.010891,0.768338,0.022754,0.023994,0.027496,0.999075,-0.462185,0.032625,-0.046384,0.885342,-0.207773,-0.114280,0.089954,-0.062952,-0.338165,0.178564,-0.348386,0.038045,-0.055617,-0.005058,0.203361,-0.051861,0.313279,-0.590746,0.985247,0.136908,0.042985,0.156778,-0.049545,-0.359843,0.592905,0.881252,-0.142147,0.071215,-0.143168
0.059039,-0.011256,0.767298,0.024856,0.025433,0.029154,0.998942,-0.479180,0.008074,-0.064643,0.829112,-0.192772,-0.112272,0.103439,-0.065849,-0.340764,0.172388,-0.355154,0.040852,-0.047111,-0.006471,0.203333,-0.037024,0.316714,-0.584464,0.979109,0.136115,0.040474,0.153329,-0.076398,-0.357154,0.574491,0.857094,-0.132477,0.070371,-0.153211
0.070191,-0.010593,0.765958,0.026368,0.027398,0.029468,0.998842,-0.488923,-0.009877,-0.075025,0.740954,-0.166314,-0.111031,0.117470,-0.068147,-0.339295,0.166025,-0.362682,0.045558,-0.036660,-0.007926,0.204008,-0.021221,0.322459,-0.577832,0.973720,0.131763,0.036867,0.151452,-0.109342,-0.353917,0.553837,0.825859,-0.117831,0.066509,-0.165164
0.082865,-0.009585,0.764360,0.027857,0.030058,0.027906,0.998770,-0.490525,-0.017895,-0.069568,0.628787,-0.128402,-0.108950,0.132166,-0.071262,-0.333304,0.159080,-0.370852,0.052643,-0.024790,-0.011200,0.205685,-0.007352,0.329113,-0.572426,0.974243,0.126366,0.034264,0.150680,-0.148407,-0.351575,0.535939,0.790017,-0.106403,0.061115,-0.177572
