0.027502,0.000000,0.777666,0.017335,0.047423,0.001611,0.998723,-0.031032,0.038741,0.283608,0.154811,-0.242456,-0.082652,-0.199479,-0.110942,-0.049094,0.457953,-0.328083,0.070764,-0.002971,-0.094272,0.209286,-0.146384,0.377283,-0.658100,1.016626,-0.073357,0.091031,0.123397,-0.155743,-0.306800,0.699098,0.935425,0.022912,-0.029002,-0.028952
0.030472,-0.002785,0.776801,0.018494,0.052646,0.000756,0.998442,-0.031899,0.040451,0.288487,0.143235,-0.243697,-0.090307,-0.208117,-0.109964,-0.050588,0.466597,-0.343373,0.068149,-0.006029,-0.100485,0.207895,-0.148659,0.385823,-0.655995,1.014877,-0.070449,0.093317,0.122421,-0.150634,-0.304916,0.694700,0.930409,0.025416,-0.027212,-0.029145
0.035786,-0.006154,0.776127,0.017646,0.058055,0.000358,0.998157,-0.034174,0.047611,0.289538,0.135358,-0.246414,-0.101835,-0.211537,-0.101958,-0.051592,0.465587,-0.352699,0.063163,-0.009251,-0.101566,0.205551,-0.148734,0.392394,-0.648807,1.015144,-0.064497,0.093281,0.124216,-0.143497,-0.301424,0.690295,0.927101,0.025652,-0.026757,-0.030383
0.041143,-0.009782,0.775860,0.014911,0.062669,-0.000745,0.997923,-0.034165,0.060620,0.290409,0.132074,-0.251764,-0.116190,-0.206693,-0.087661,-0.053113,0.452476,-0.355285,0.057900,-0.011825,-0.097119,0.202155,-0.144732,0.393133,-0.633842,1.017322,-0.057946,0.094528,0.126385,-0.136963,-0.297189,0.688677,0.928353,0.021141,-0.027359,-0.029139
0.047300,-0.013918,0.775403,0.011427,0.066085,-0.002346,0.997746,-0.034820,0.077186,0.291035,0.138996,-0.262020,-0.130500,-0.194789,-0.071606,-0.056050,0.430583,-0.357288,0.052931,-0.013832,-0.089118,0.198211,-0.139217,0.389410,-0.617883,1.016886,-0.056986,0.095255,0.128817,-0.131774,-0.294166,0.685996,0.930375,0.014614,-0.026489,-0.024679
0.054305,-0.018639,0.774268,0.006408,0.068688,-0.003586,0.997611,-0.047271,0.102575,0.288848,0.180518,-0.287540,-0.143859,-0.178439,-0.052099,-0.061377,0.406314,-0.360274,0.045761,-0.016573,-0.075795,0.193460,-0.133529,0.384636,-0.607101,1.010206,-0.055575,0.094473,0.129103,-0.126554,-0.293956,0.678334,0.930014,0.008151,-0.024300,-0.020600
0.062832,-0.023540,0.772209,-0.000847,0.070543,-0.003750,0.997501,-0.080038,0.140201,0.280177,0.273731,-0.332081,-0.155404,-0.159458,-0.027746,-0.069372,0.383896,-0.362755,0.037017,-0.019633,-0.055547,0.188453,-0.128465,0.381408,-0.604056,0.997831,-0.047329,0.092671,0.128824,-0.121654,-0.297684,0.667953,0.929278,0.006163,-0.023598,-0.018607
0.072432,-0.028360,0.769728,-0.009955,0.071060,-0.003648,0.997416,-0.130785,0.186491,0.263973,0.409304,-0.380076,-0.164856,-0.137423,0.000693,-0.075952,0.364095,-0.363311,0.027125,-0.020596,-0.028993,0.185938,-0.126666,0.379536,-0.606307,0.984578,-0.032155,0.091935,0.127980,-0.118807,-0.307422,0.662062,0.928750,0.010467,-0.026956,-0.013685
0.081388,-0.032528,0.767442,-0.017607,0.069274,-0.003626,0.997436,-0.199057,0.231168,0.239614,0.591616,-0.406985,-0.162257,-0.111153,0.025221,-0.081749,0.346362,-0.361853,0.016562,-0.019403,-0.003719,0.190248,-0.125996,0.378634,-0.607673,0.969812,-0.020618,0.091719,0.129621,-0.118729,-0.322751,0.659155,0.932790,0.018330,-0.027201,-0.007668
0.090829,-0.036438,0.766068,-0.018332,0.066316,-0.003250,0.997625,-0.271572,0.260121,0.224339,0.778505,-0.386943,-0.148350,-0.085706,0.032267,-0.084076,0.340683,-0.364162,0.008809,-0.018589,0.007880,0.197952,-0.123534,0.377961,-0.610736,0.958823,-0.012957,0.090417,0.131031,-0.120980,-0.343053,0.664174,0.941772,0.023654,-0.024846,-0.000180
